date1,hour1,price,output
01.01.2015,0,,4.123
01.01.2015,1,,4.516
01.01.2015,2,,5.1579999999999995
01.01.2015,3,,5.769
01.01.2015,4,,5.178999999999999
01.01.2015,5,,3.4360000000000004
01.01.2015,6,,1.9609999999999999
01.01.2015,7,,1.44
01.01.2015,8,,1.944
01.01.2015,9,,1.923
01.01.2015,10,,2.891
01.01.2015,11,,4.532
01.01.2015,12,,4.8389999999999995
01.01.2015,13,,5.379
01.01.2015,14,,5.303999999999999
01.01.2015,15,,6.322
01.01.2015,16,,7.775
01.01.2015,17,,8.394
01.01.2015,18,,6.968999999999999
01.01.2015,19,,6.184
01.01.2015,20,,6.646
01.01.2015,21,,7.4639999999999995
01.01.2015,22,,7.731
01.01.2015,23,,7.779
02.01.2015,0,,8.225
02.01.2015,1,,8.277000000000001
02.01.2015,2,,8.09
02.01.2015,3,,8.578
02.01.2015,4,,9.146
02.01.2015,5,,9.075
02.01.2015,6,,9.567
02.01.2015,7,,10.717
02.01.2015,8,,10.873
02.01.2015,9,,9.625
02.01.2015,10,,8.732999999999999
02.01.2015,11,,9.118
02.01.2015,12,,10.024
02.01.2015,13,,10.642000000000001
02.01.2015,14,,11.895999999999999
02.01.2015,15,,13.145
02.01.2015,16,,13.652999999999999
02.01.2015,17,,14.564
02.01.2015,18,,15.245
02.01.2015,19,,15.047
02.01.2015,20,,15.589
02.01.2015,21,,16.644000000000002
02.01.2015,22,,17.8
02.01.2015,23,,16.945999999999998
03.01.2015,0,,14.439
03.01.2015,1,,11.728
03.01.2015,2,,10.329
03.01.2015,3,,9.988
03.01.2015,4,,9.674
03.01.2015,5,,9.272
03.01.2015,6,,8.618
03.01.2015,7,,8.121
03.01.2015,8,,7.968
03.01.2015,9,,7.553
03.01.2015,10,,8.051
03.01.2015,11,,10.101
03.01.2015,12,,10.739
03.01.2015,13,,11.319
03.01.2015,14,,13.789000000000001
03.01.2015,15,,19.705
03.01.2015,16,,23.552
03.01.2015,17,,27.043000000000003
03.01.2015,18,,28.145
03.01.2015,19,,29.831999999999997
03.01.2015,20,,32.647
03.01.2015,21,,37.084
03.01.2015,22,,42.233999999999995
03.01.2015,23,,46.85
04.01.2015,0,,47.512
04.01.2015,1,,47.431999999999995
04.01.2015,2,,44.915
04.01.2015,3,,42.888999999999996
04.01.2015,4,,38.558
04.01.2015,5,,35.74
04.01.2015,6,,31.774
04.01.2015,7,,30.604
